rating,date,title,branch,neg,neu,pos
1,2021-01-30,Beware Seniors,Florida,1,0,0
1,2021-01-29,Non-disclosed toxin and allergen exposure.,Florida,0,1,0
4,2021-01-28,Avoid parks during weekend,Florida,1,0,0
4,2021-01-28,Fun during the Pandemic,Florida,0,0,1
1,2021-01-27,Covid ruined Orlando Studios,Florida,1,0,0
2,2021-01-25,"Good rides, so so COVID response",Florida,0,0,1
5,2021-01-23,Fun Day at Universal,Florida,0,0,1
5,2021-01-23,Great time,Florida,0,0,1
5,2021-01-21,"Felt very safe, employees wearing masks and reminding others to wear them properly too",Florida,0,0,1
5,2021-01-21,Awesome Themepark,Florida,0,0,1
4,2021-01-20,A little dated for the price but Potter saves it,Florida,1,0,0
2,2021-01-19,“What Happened???....”,Florida,0,0,1
5,2021-01-18,Safety first and it shows,Florida,0,0,1
5,2021-01-17,Favorite Theme Park in Orlando,Florida,0,0,1
5,2021-01-16,Great for Kids Who Like Rides!,Florida,0,0,1
1,2021-01-16,LOOOONG WAIT AT A MINIMUM AND 1 HOUR OR MORE,Florida,1,0,0
5,2021-01-16,Vacation at Universal Studios,Florida,0,0,1
5,2021-01-16,Fun and More Fun!,Florida,0,0,1
1,2021-01-14,Mistake to visit during Covid,Florida,0,0,1
4,2021-01-13,Christmas Trip,Florida,0,0,1
2,2021-01-13,Sixteenth birthday bust,Florida,0,0,1
4,2021-01-12,"fun rides, but still very busy!",Florida,0,0,1
5,2021-01-12,Great family Christmas present,Florida,0,0,1
2,2021-01-11,Disappointing Visit to Universal,Florida,0,1,0
3,2021-01-10,Save your money,Florida,0,0,1
3,2021-01-10,We walked around the park and I recommend riding the Incredible Hulk in the other park,Florida,0,0,1
5,2021-01-09,Great Theme Park,Florida,0,0,1
4,2021-01-09,Lots of Shops and restaurants,Florida,0,1,0
3,2021-01-09,A little dated,Florida,0,0,1
3,2021-01-07,Universally Orwellian,Florida,1,0,0
5,2021-01-07,On the upswing,Florida,0,0,1
5,2021-01-06,NYE in City Walk. Concert at Hard Rock Cafe.,Florida,0,0,1
5,2021-01-06,Great experience - family of 7 and wide ages,Florida,0,0,1
5,2021-01-04,Awesome time (again),Florida,0,0,1
5,2021-01-04,Spend Your Money Else Where,Florida,0,0,1
1,2021-01-04,Save your time and go to Disney instead,Florida,1,0,0
3,2021-01-04,Needs improvement,Florida,0,0,1
4,2021-01-03,Frustrating,Florida,0,1,0
3,2021-01-03,Love Universal but was disappointed this time!,Florida,1,0,0
2,2021-01-03,Universal Studios has to do better!,Florida,0,0,1
5,2021-01-03,Remarkable Social Distancing measures,Florida,0,0,1
3,2021-01-03,Don't go on PASSHOLDER days to dangerous w covid and waste of money. Other than that non peak days great time.,Florida,0,0,1
3,2021-01-03,COVID protocols,Florida,1,0,0
5,2021-01-02,watch the shows,Florida,0,0,1
4,2021-01-02,Great Trip,Florida,0,0,1
2,2021-01-02,Disappointing,Florida,0,1,0
2,2021-01-01,Universal needs to manage its parks' capacity and social distancing better!,Florida,0,0,1
4,2021-01-01,"Great park, very busy last week of year",Florida,0,0,1
4,2021-01-01,Must have Express Pass,Florida,1,0,0
1,2021-01-01,Horrible experience!,Florida,0,0,1
5,2020-12-31,Lots of fun for the whole family!,Florida,0,1,0
1,2020-12-30,COVID health hazard - not worth the money or risk!!!!,Florida,1,0,0
1,2020-12-30,Has anyone here researched the CDC guidelines?,Florida,1,0,0
3,2020-12-30,Rides open. Food good. Service and management needs improvement. Try elsewhere.,Florida,1,0,0
1,2020-12-30,Disappointed,Florida,1,0,0
5,2020-12-30,Best ever STAFF MEMBER - KRISTEN,Florida,0,0,1
1,2020-12-30,Terrible on multiple levels,Florida,0,0,1
5,2020-12-30,Safe and wonderful trip!,Florida,0,0,1
3,2020-12-29,Universal... PROS and CONS,Florida,1,0,0
1,2020-12-29,Disappointed,Florida,0,1,0
1,2020-12-29,Universal scheming guests out of money.,Florida,0,0,1
1,2020-12-29,Awful way to spend a vacation.,Florida,0,1,0
1,2020-12-29,Capacity rules ruin everything,Florida,0,0,1
5,2020-12-29,My Happy Place,Florida,0,0,1
1,2020-12-29,DO NOT GO,Florida,1,0,0
1,2020-12-29,Waste Money and time!! Awful experience,Florida,1,0,0
1,2020-12-29,Worst Theme Park Ever,Florida,1,0,0
1,2020-12-29,"Waste of time, excesive lines",Florida,0,1,0
4,2020-12-28,Some Fast and Furious Rides,Florida,0,0,1
1,2020-12-28,Stay away,Florida,0,1,0
2,2020-12-28,Good but too many people,Florida,0,1,0
1,2020-12-27,Horrible treatment or customers,Florida,0,1,0
2,2020-12-22,Social Distanced Ride Lines...Free For All in Common Areas,Florida,0,0,1
5,2020-12-22,Had 4grandkids birthdays,Florida,0,0,1
1,2020-12-22,So bad we might not use the other 2 days that we paid for,Florida,0,0,1
1,2020-12-22,WASTE OF MONEY,Florida,1,0,0
1,2020-12-21,Such a joke,Florida,0,1,0
5,2020-12-21,Mardi Gras in Orlando!,Florida,0,0,1
5,2020-12-19,Had a great time during the pandemic,Florida,0,0,1
3,2020-12-19,Crowds and not clean,Florida,1,0,0
5,2020-12-15,Visit in August 2017,Florida,0,0,1
5,2020-12-13,So much fun!,Florida,0,0,1
3,2020-12-13,It was good EXCEPT,Florida,0,0,1
5,2020-12-12,Excellent experience,Florida,0,0,1
4,2020-12-10,Glad We Went During Covid,Florida,0,0,1
5,2020-12-10,Worth it!,Florida,0,0,1
4,2020-12-08,Clean Bathrooms,Florida,0,0,1
5,2020-12-08,Amazing!,Florida,0,0,1
4,2020-12-06,Safe visit,Florida,0,0,1
5,2020-12-05,Safe and fun,Florida,0,0,1
3,2020-12-04,Some parts okay others super crowded,Florida,0,0,1
1,2020-12-04,Universal bad dining experience,Florida,1,0,0
5,2020-12-03,So glad we went!,Florida,0,0,1
5,2020-12-02,My Choice for Theme Parks,Florida,0,0,1
2,2020-12-01,So expensive,Florida,1,0,0
1,2020-11-30,Discriminated against because I don't have a fast smartphone,Florida,0,1,0
1,2020-11-28,Worse theme park experience ever,Florida,0,1,0
2,2020-11-27,Avoid during covid.,Florida,0,0,1
5,2020-11-25,Great trip during Covid!,Florida,0,0,1
1,2020-11-24,Terrible hotel,Florida,0,1,0
1,2020-11-24,Overhyped,Florida,0,1,0
1,2020-11-24,Need Changes,Florida,1,0,0
4,2020-11-21,4 out of 5 stars,Florida,0,0,1
5,2020-11-19,Rides for the entire family,Florida,0,0,1
3,2020-11-17,"It's an OK theme park, but not worth 5 days",Florida,0,0,1
5,2020-11-17,Florida Turnpike Toll Gates SB off 75 to Orlando Universal Studios,Florida,0,0,1
5,2020-11-15,Excellent Vacation,Florida,0,0,1
5,2020-11-15,An amazing resort with 2 stunning theme parks.,Florida,0,0,1
1,2020-11-14,It’s like COVID doesn’t exist,Florida,0,0,1
1,2020-11-14,Horrible,Florida,1,0,0
5,2020-11-13,Remarkable visit during COVID,Florida,0,0,1
3,2020-11-13,Universal,Florida,0,1,0
5,2020-11-12,Extraordinary!!,Florida,0,0,1
5,2020-11-10,Happy Universal is open & felt safety was a priority,Florida,0,0,1
5,2020-11-08,Felt Safe During COVID-19,Florida,0,0,1
4,2020-11-06,Upscale theme park,Florida,0,0,1
4,2020-11-05,Stepping up their game!!,Florida,0,0,1
5,2020-11-04,Awesome time!,Florida,0,0,1
5,2020-11-01,Worth the travel,Florida,0,0,1
3,2020-11-01,"Doesnt fully open with early access, but great for what it is",Florida,0,1,0
4,2020-10-30,Busy but fun,Florida,0,0,1
5,2020-10-30,So amazing!,Florida,0,0,1
5,2020-10-29,Covid honeymoon vacation,Florida,0,0,1
4,2020-10-28,Awesome,Florida,0,0,1
1,2020-10-27,Terrible Experience,Florida,1,0,0
5,2020-10-27,Universal fun during Covid,Florida,0,0,1
5,2020-10-27,Universal Orlando,Florida,1,0,0
3,2020-10-26,"Oct. 22 & 23, 2020 Universal and Islands of Adventure",Florida,0,0,1
5,2020-10-25,Awesome,Florida,0,0,1
3,2020-10-24,Beware of fraudulent tickets,Florida,1,0,0
1,2020-10-22,Awful experience,Florida,0,1,0
4,2020-10-21,Fun Day!,Florida,0,0,1
5,2020-10-20,Amazing!,Florida,0,0,1
3,2020-10-20,"Fun, but not fun",Florida,1,0,0
5,2020-10-19,Toon lagoon is my go to.,Florida,0,0,1
2,2020-10-16,We Will Not Go Back Until Mask Restrictions Are Lifted,Florida,0,0,1
4,2020-10-16,Good Place to Eat and Watch,Florida,0,1,0
4,2020-10-16,Universal Studios Orlando,Florida,0,0,1
2,2020-10-15,Don't go until COVID restrictions lifted,Florida,1,0,0
4,2020-10-15,Enjoy the current resident special for $165 to the end of the year. Otherwise it's not worth it.,Florida,0,0,1
1,2020-10-14,Unsafe Experience at Univeral Florida City walk,Florida,0,0,1
1,2020-10-14,Very underwhelming!,Florida,0,0,1
2,2020-10-14,Islands of Adventure during pandemic,Florida,0,0,1
2,2020-10-14,Without a Smart Phone We were EXCLUDED!!! NEVER AGAIN!!!,Florida,0,1,0
4,2020-10-12,Harry Potter Stuff was great!,Florida,0,0,1
3,2020-10-12,Don’t bother going without a fast pass,Florida,0,0,1
5,2020-10-12,We would certainly return for a day full of adventure,Florida,0,0,1
2,2020-10-11,Misleading overpriced ticket,Florida,0,1,0
1,2020-10-11,"Not helpful, families with disabilities be aware",Florida,1,0,0
1,2020-10-10,Wait until Covid is over- don’t waste your time,Florida,0,1,0
5,2020-10-10,Great experience,Florida,0,0,1
1,2020-10-10,DO NOT GO! They oversell tickets and close the park because of covid limitations,Florida,0,0,1
1,2020-10-09,Worse rip off then ever!,Florida,0,1,0
5,2020-10-08,The best park,Florida,0,0,1
2,2020-10-07,Don’t go to universal studios!! Rip off!!!!,Florida,0,0,1
5,2020-10-07,Great Place to go with family and friends!,Florida,0,0,1
4,2020-10-07,Decent Covid precautions but amazing deals,Florida,0,0,1
5,2020-10-07,MY EXPERIENCE,Florida,0,0,1
5,2020-10-06,Very entertaining and a very fun place that you can enjoy!,Florida,0,0,1
3,2020-10-05,great for covid precautions but horrible virtual lines,Florida,1,0,0
5,2020-10-04,Visit in COVID times,Florida,0,0,1
5,2020-10-03,A memorable tour with usual as expected fun and joy with family,Florida,0,0,1
5,2020-10-01,it was magical,Florida,0,0,1
5,2020-10-01,The staff makes this place awesome!,Florida,0,0,1
3,2020-09-30,Rip Off,Florida,0,0,1
5,2020-09-30,dream vacation,Florida,0,0,1
1,2020-09-28,Disappointing,Florida,1,0,0
5,2020-09-28,"Relax, go with the flow, have a wonderful time.",Florida,0,0,1
3,2020-09-25,Universal Orlando large Crowds,Florida,0,1,0
5,2020-09-24,Amazing,Florida,0,0,1
5,2020-09-23,COVID Review,Florida,0,0,1
5,2020-09-19,"fun, social distancing, Harry Potter area excellent",Florida,0,0,1
5,2020-09-18,Doing a great job during COVID!!,Florida,0,0,1
5,2020-09-17,"Awesome rides and shows, helpful, friendly people",Florida,0,0,1
5,2020-09-14,Amazing especially during Covid,Florida,0,0,1
4,2020-09-14,Harry Potter Experience Worth It!,Florida,0,0,1
5,2020-09-13,"Great time, great experience",Florida,0,0,1
5,2020-09-12,Amazing family holiday,Florida,0,0,1
5,2020-09-11,Safety is priority.,Florida,0,0,1
5,2020-09-07,Great Customer Service,Florida,0,0,1
4,2020-09-07,Best Day This Year So Far..,Florida,0,0,1
1,2020-09-07,Universal sucks,Florida,0,0,1
3,2020-09-07,Larger Crowds Than Anticipated Due to COVID,Florida,0,0,1
4,2020-09-07,Great family vacation,Florida,0,0,1
2,2020-09-07,Two Hours To Park / Two Ticket Reprints / Not Worth The Price,Florida,0,0,1
4,2020-09-06,Rides are good but not much improvements since our last visit,Florida,0,0,1
5,2020-09-06,Clean and safe visit at Universal,Florida,0,0,1
1,2020-09-06,Pay huge to bury yourself under hot sun,Florida,1,0,0
5,2020-09-06,really fun you should do it,Florida,0,0,1
5,2020-09-03,Best Day Ever!!,Florida,0,0,1
5,2020-09-03,Vacation,Florida,0,0,1
5,2020-09-01,Amazing! Enjoyed every minute,Florida,0,0,1
4,2020-09-01,Great birthday activitu,Florida,0,0,1
5,2020-08-31,Not as We Remembered it Five Years Ago!,Florida,0,0,1
5,2020-08-29,GET EXPRESS PASSES!,Florida,0,0,1
4,2020-08-28,Loved the Harry Potter Attractions!,Florida,0,0,1
5,2020-08-28,Great place to go,Florida,0,0,1
5,2020-08-25,"Great rides, something for everyone.",Florida,0,0,1
5,2020-08-24,visit,Florida,0,0,1
2,2020-08-23,Pointless to go with COVID restrictions even with short lines!,Florida,0,0,1
2,2020-08-22,Social distancing largely ignored during COVID-19,Florida,1,0,0
3,2020-08-22,pretty good,Florida,0,0,1
4,2020-08-21,Good Time!,Florida,0,0,1
5,2020-08-21,Lots of fun,Florida,0,0,1
1,2020-08-21,It was nice and cool,Florida,0,1,0
2,2020-08-20,Overboard on Masks,Florida,1,0,0
4,2020-08-18,Nice get away,Florida,0,0,1
4,2020-08-16,Kudos,Florida,0,0,1
1,2020-08-16,Terrible customer service,Florida,1,0,0
2,2020-08-16,Disappointing,Florida,0,1,0
4,2020-08-16,Fun fun fun,Florida,0,0,1
4,2020-08-15,"Good park, but doable in a day",Florida,0,0,1
5,2020-08-14,Amazing time,Florida,0,0,1
5,2020-08-14,Had A Universal time,Florida,0,0,1
5,2020-08-14,"lots of fun, noy very crowded, lots of social distancing, felt safe the entire time.",Florida,0,0,1
5,2020-08-13,Lots to do,Florida,0,0,1
5,2020-08-12,Last minute decision to do park,Florida,0,0,1
5,2020-08-11,Honeymoon extravaganza,Florida,0,0,1
1,2020-08-09,Masks and Amusement Parks don’t mix!,Florida,1,0,0
5,2020-08-09,Fun and Easy,Florida,0,0,1
4,2020-08-08,Good,Florida,0,0,1
5,2020-08-08,Great time,Florida,0,0,1
1,2020-08-07,Bad and slow food service,Florida,1,0,0
5,2020-08-05,Family fun,Florida,0,0,1
5,2020-08-03,Excellent Team Members = Epic Vacation,Florida,0,0,1
5,2020-08-02,Great fun for the whole family,Florida,0,0,1
5,2020-08-02,Amazing,Florida,0,0,1
4,2020-07-31,Universal during Covid ...,Florida,0,0,1
2,2020-07-30,"In the current environment, STAY HOME!",Florida,0,0,1
5,2020-07-28,Outstanding Customer Service,Florida,0,0,1
4,2020-07-28,Kids Birthday Surprise during COVID,Florida,0,0,1
4,2020-07-27,"Good experience, even during a pandemic",Florida,0,0,1
2,2020-07-24,Get some new Rides!!,Florida,0,1,0
5,2020-07-22,"Great time, trip to Florida not wasted",Florida,0,0,1
4,2020-07-22,Universal Does Not Disappoint,Florida,0,0,1
5,2020-07-22,Great fun in the Florida sun!,Florida,0,0,1
2,2020-07-22,Terrible Service at Hagrid Ride,Florida,1,0,0
5,2020-07-22,Simple Winderful,Florida,0,0,1
2,2020-07-19,Sons vaca wasted.,Florida,0,0,1
5,2020-07-17,Kudos to Universal for their COVID planning,Florida,0,0,1
5,2020-07-17,Freaking awesome as always,Florida,1,0,0
4,2020-07-14,Family visit,Florida,0,1,0
5,2020-07-13,Sublime experience.,Florida,0,0,1
5,2020-07-12,Awesome safe and clean trip during pandemic,Florida,0,0,1
5,2020-07-11,Excellent covid procedure!!,Florida,0,0,1
5,2020-07-11,Always a great time!,Florida,0,0,1
2,2020-07-10,Not the best for Big/Tall people,Florida,0,0,1
4,2020-07-09,Loved our quiet time..,Florida,0,0,1
3,2020-07-09,Need to hire more adults,Florida,0,0,1
3,2020-07-08,OK,Florida,0,0,1
